# >> Output from NodeLinkage.pl <<
# >> Input file 1: "Nodes-Similarities_final_classes_network_data.tsv
# >> Input file 2: "final_classes_network_data.tsv
# >> Clustering of nodes with the Average Linkage method
# >> Recovering classification at step: 355
# >> Running at date:  (mm,dd,yy) 4, 28, 2024, and time: 19:19:32,
# >> Silwood Park, Imperial College London, A.P-G.
# 
Step	Similarity	Density	DensityInt	DensityExt	NumNodesA	NumEdgesA	NumNodesB	NumEdgesB	NumNodesAB	NumEdgesAB	NumIntNodesA	NumIntNodesB	NumExtNodesA	NumExtNodesB	NumIntNodesAB	NumExtNodesAB	NumIntEdgesA	NumIntEdgesB	NumExtEdgesA	NumExtEdgesB	NumIntEdgesAB	NumExtEdgesAB	nodeA	nodeB	NcumInt	NcumExt	Ncum
22	0.333291083686867	0.0157202809181227	0.0052321778940484	0.0104881030240743	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_377	ASV_393	8	1521	1529
23	0.333153418890641	0.0163743031548787	0.0052321778940484	0.0111421252608303	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_454	ASV_589	8	1521	1529
24	0.333147320318526	0.0170283253916348	0.0052321778940484	0.0117961474975864	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_687	ASV_603	8	1521	1529
25	0.33313617610344	0.0176823476283908	0.0052321778940484	0.0124501697343424	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_944	ASV_508	8	1521	1529
26	0.333052950749541	0.0180093587467688	0.0052321778940484	0.0127771808527204	1	1	2	2	3	3	0	0	1	1	0	1	0	0	1	2	0	3	ASV_867	ASV_377	8	1521	1529
27	0.333041686618443	0.0186633809835249	0.0052321778940484	0.0134312030894765	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_983	ASV_263	8	1521	1529
28	0.332697745813469	0.0193174032202809	0.0052321778940484	0.0140852253262325	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_583	ASV_635	8	1521	1529
29	0.332297301553094	0.019971425457037	0.0052321778940484	0.0147392475629886	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_420	ASV_995	8	1521	1529
30	0.3322781714667	0.020298436575415	0.0052321778940484	0.0150662586813666	1	1	3	3	4	4	0	0	1	1	0	1	0	0	1	3	0	4	ASV_216	ASV_867	8	1521	1529
31	0.332029138872727	0.020625447693793	0.0052321778940484	0.0153932697997446	2	2	1	1	3	3	0	0	1	1	0	1	0	0	2	1	0	3	ASV_687	ASV_629	8	1521	1529
32	0.331953183288142	0.0217154847550531	0.0052321778940484	0.0164833068610047	1	3	1	2	2	5	0	0	3	2	0	3	0	0	3	2	0	5	ASV_476	ASV_699	8	1521	1529
33	0.331855154905497	0.0220424958734312	0.0052321778940484	0.0168103179793827	2	2	1	1	3	3	0	0	1	1	0	1	0	0	2	1	0	3	ASV_944	ASV_806	8	1521	1529
34	0.331779539107152	0.0226965181101872	0.0052321778940484	0.0174643402161388	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_432	ASV_543	8	1521	1529
35	0.331622409445784	0.0240815063762588	0.00588620013080445	0.0181953062454544	1	9	1	12	2	20	0	0	9	12	2	17	0	0	9	12	1	19	ASV_91	ASV_125	9	1520	1529
36	0.331208500922382	0.0244085174946369	0.00588620013080445	0.0185223173638324	2	2	1	1	3	3	0	0	1	1	0	1	0	0	2	1	0	3	ASV_454	ASV_277	9	1520	1529
37	0.33116935577294	0.0250625397313929	0.00588620013080445	0.0191763396005885	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_1214	ASV_471	9	1520	1529
38	0.330624616727305	0.025716561968149	0.0065402223675605	0.0191763396005885	1	2	1	4	2	5	0	0	2	4	2	4	0	0	2	4	1	4	ASV_659	ASV_147	10	1519	1529
39	0.330204076868258	0.026207078645716	0.0065402223675605	0.0196668562781555	1	1	1	2	2	3	0	0	1	2	0	2	0	0	1	2	0	3	ASV_485	ASV_243	10	1519	1529
40	0.330153749825219	0.0268611008824721	0.0065402223675605	0.0203208785149115	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_697	ASV_1109	10	1519	1529
41	0.329440567475692	0.0275151231192281	0.0065402223675605	0.0209749007516676	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_945	ASV_976	10	1519	1529
42	0.329338304977871	0.0281691453559842	0.0065402223675605	0.0216289229884236	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_341	ASV_490	10	1519	1529
43	0.329016519892991	0.0284961564743622	0.0065402223675605	0.0219559341068017	2	2	1	1	3	3	0	0	1	1	0	1	0	0	2	1	0	3	ASV_420	ASV_681	10	1519	1529
44	0.328271797477878	0.0284961564743622	0.0065402223675605	0.0219559341068017	2	2	2	2	4	4	0	0	1	1	0	1	0	0	2	2	0	4	ASV_432	ASV_583	10	1519	1529
45	0.328097446446066	0.0284961564743622	0.0065402223675605	0.0219559341068017	4	4	3	3	7	7	0	0	1	1	0	1	0	0	4	3	0	7	ASV_216	ASV_687	10	1519	1529
46	0.327259411047752	0.0291501787111182	0.0065402223675605	0.0226099563435577	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_955	ASV_912	10	1519	1529
47	0.326630880746416	0.0291501787111182	0.0065402223675605	0.0226099563435577	3	3	3	3	6	6	0	0	1	1	0	1	0	0	3	3	0	6	ASV_454	ASV_944	10	1519	1529
48	0.323408043737191	0.0296406953886853	0.0065402223675605	0.0231004730211248	1	1	1	2	2	3	0	0	1	2	0	2	0	0	1	2	0	3	ASV_722	ASV_182	10	1519	1529
49	0.321225753960888	0.0289866731519292	0.0065402223675605	0.0224464507843687	6	6	1	2	7	8	0	0	1	2	0	2	0	0	6	2	0	8	ASV_454	ASV_406	10	1519	1529
50	0.321065215683334	0.0293136842703072	0.0065402223675605	0.0227734619027467	2	2	1	1	3	3	0	0	1	1	0	1	0	0	2	1	0	3	ASV_1214	ASV_229	10	1519	1529
51	0.320311561486235	0.0294771898294963	0.0065402223675605	0.0229369674619357	2	3	1	1	3	4	0	0	2	1	0	2	0	0	3	1	0	4	ASV_599	ASV_489	10	1519	1529
52	0.319510559670356	0.0301312120662523	0.00719424460431655	0.0229369674619357	1	2	1	2	2	3	0	0	2	2	2	2	0	0	2	2	1	2	ASV_400	ASV_183	11	1518	1529
53	0.317210228498456	0.0301312120662523	0.00719424460431655	0.0229369674619357	3	3	2	2	5	5	0	0	1	1	0	1	0	0	3	2	0	5	ASV_420	ASV_945	11	1518	1529
54	0.317062159399442	0.0307852343030084	0.00719424460431655	0.0235909896986918	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_654	ASV_1318	11	1518	1529
55	0.316241283311641	0.0314392565397644	0.0078482668410726	0.0235909896986918	1	1	1	2	2	2	0	0	1	2	2	1	0	0	1	2	1	1	ASV_1093	ASV_502	12	1517	1529
56	0.315535237033654	0.0320932787765205	0.00850228907782865	0.0235909896986918	1	2	1	2	2	3	0	0	2	2	2	2	0	0	2	2	1	2	ASV_264	ASV_788	13	1516	1529
57	0.314459635697882	0.0325837954540875	0.00850228907782865	0.0240815063762588	1	1	1	2	2	3	0	0	1	2	0	2	0	0	1	2	0	3	ASV_1104	ASV_613	13	1516	1529
58	0.312849526128676	0.0332378176908436	0.0091563113145847	0.0240815063762588	1	1	1	2	2	2	0	0	1	2	2	1	0	0	1	2	1	1	ASV_407	ASV_431	14	1515	1529
59	0.307261482320901	0.0338918399275996	0.00981033355134076	0.0240815063762588	1	7	1	3	2	9	0	0	7	3	2	8	0	0	7	3	1	8	ASV_87	ASV_152	15	1514	1529
60	0.30722514199897	0.0338918399275996	0.00981033355134076	0.0240815063762588	1	3	2	3	3	6	0	0	3	2	0	4	0	0	3	3	0	6	ASV_294	ASV_722	15	1514	1529
61	0.306005554985281	0.0353633899603007	0.00981033355134076	0.0255530564089599	1	6	1	3	2	9	0	0	6	3	0	6	0	0	6	3	0	9	ASV_624	ASV_670	15	1514	1529
62	0.30573421047095	0.0357721538582733	0.00981033355134076	0.0259618203069325	1	2	1	3	2	5	0	0	2	3	0	4	0	0	2	3	0	5	ASV_692	ASV_275	15	1514	1529
63	0.304895922960058	0.0362626705358403	0.00981033355134076	0.0264523369844995	1	2	1	1	2	3	0	0	2	1	0	2	0	0	2	1	0	3	ASV_312	ASV_331	15	1514	1529
64	0.304123177539709	0.0367531872134073	0.00981033355134076	0.0269428536620666	1	2	1	1	2	3	0	0	2	1	0	2	0	0	2	1	0	3	ASV_458	ASV_893	15	1514	1529
65	0.303478428678574	0.0374072094501634	0.00981033355134076	0.0275968758988226	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_992	ASV_1134	15	1514	1529
66	0.303417677140039	0.0380612316869194	0.00981033355134076	0.0282508981355787	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_340	ASV_369	15	1514	1529
67	0.302309916678364	0.0384427446583605	0.00981033355134076	0.0286324111070197	1	6	1	1	2	7	0	0	6	1	0	6	0	0	6	1	0	7	ASV_650	ASV_141	15	1514	1529
68	0.300132338025552	0.0390967668951165	0.0104643557880968	0.0286324111070197	1	9	1	1	2	9	0	0	9	1	2	8	0	0	9	1	1	8	ASV_17	ASV_649	16	1513	1529
69	0.298724641711453	0.0395872835726836	0.0104643557880968	0.0291229277845867	1	1	1	2	2	3	0	0	1	2	0	2	0	0	1	2	0	3	ASV_560	ASV_989	16	1513	1529
70	0.298603366278726	0.0402413058094396	0.0111183780248529	0.0291229277845867	1	4	1	3	2	6	0	0	4	3	2	5	0	0	4	3	1	5	ASV_164	ASV_175	17	1512	1529
71	0.298178026490422	0.0408953280461957	0.0117724002616089	0.0291229277845867	1	16	1	2	2	17	0	0	16	2	2	16	0	0	16	2	1	16	ASV_11	ASV_496	18	1511	1529
72	0.297334837133945	0.0419581141809243	0.012426422498365	0.0295316916825593	1	4	1	3	2	6	0	0	4	3	2	4	0	0	4	3	1	5	ASV_763	ASV_401	19	1510	1529
73	0.295406516487424	0.0426121364176803	0.013080444735121	0.0295316916825593	1	10	1	1	2	10	0	0	10	1	2	9	0	0	10	1	1	9	ASV_157	ASV_339	20	1509	1529
74	0.295111789285891	0.0430481512421844	0.013080444735121	0.0299677065070633	1	3	1	1	2	4	0	0	3	1	0	3	0	0	3	1	0	4	ASV_99	ASV_399	20	1509	1529
75	0.293974973059657	0.0434841660666884	0.013080444735121	0.0304037213315673	1	2	1	2	2	4	0	0	2	2	0	3	0	0	2	2	0	4	ASV_285	ASV_338	20	1509	1529
76	0.292683590286726	0.0433206605074994	0.013080444735121	0.0302402157723783	3	3	1	2	4	5	0	0	1	2	0	2	0	0	3	2	0	5	ASV_1214	ASV_645	20	1509	1529
77	0.292142905918851	0.0433206605074994	0.013080444735121	0.0302402157723783	2	2	1	2	3	4	0	0	1	2	0	2	0	0	2	2	0	4	ASV_992	ASV_702	20	1509	1529
78	0.291084866588975	0.0431026530952474	0.013080444735121	0.0300222083601263	7	8	1	2	8	10	0	0	2	2	0	3	0	0	8	2	0	10	ASV_454	ASV_1044	20	1509	1529
79	0.28867240862845	0.0435931697728144	0.013080444735121	0.0305127250376933	1	2	1	1	2	3	0	0	2	1	0	2	0	0	2	1	0	3	ASV_868	ASV_711	20	1509	1529
80	0.287966487098345	0.0442471920095705	0.0137344669718771	0.0305127250376933	1	2	1	8	2	9	0	0	2	8	2	8	0	0	2	8	1	8	ASV_640	ASV_86	21	1508	1529
81	0.287137703131482	0.0443016938626335	0.0137344669718771	0.0305672268907564	2	3	1	2	3	5	0	0	2	2	0	3	0	0	3	2	0	5	ASV_458	ASV_981	21	1508	1529
82	0.287034627609883	0.0451192216585785	0.0137344669718771	0.0313847546867014	1	2	1	8	2	10	0	0	2	8	0	8	0	0	2	8	0	10	ASV_455	ASV_46	21	1508	1529
83	0.28643109360512	0.0456097383361456	0.0137344669718771	0.0318752713642685	1	1	1	2	2	3	0	0	1	2	0	2	0	0	1	2	0	3	ASV_491	ASV_498	21	1508	1529
84	0.285649251833667	0.0459912513075866	0.0137344669718771	0.0322567843357095	1	2	1	5	2	7	0	0	2	5	0	6	0	0	2	5	0	7	ASV_181	ASV_782	21	1508	1529
85	0.285054393026902	0.0463591388157619	0.0137344669718771	0.0326246718438848	1	2	1	7	2	9	0	0	2	7	0	8	0	0	2	7	0	9	ASV_302	ASV_238	21	1508	1529
86	0.283267908736793	0.0470131610525179	0.0143884892086331	0.0326246718438848	1	12	1	1	2	12	0	0	12	1	2	11	0	0	12	1	1	11	ASV_57	ASV_111	22	1507	1529
87	0.282922129272441	0.0466861499341399	0.0143884892086331	0.0322976607255068	4	4	1	2	5	6	0	0	1	2	0	2	0	0	4	2	0	6	ASV_432	ASV_1207	22	1507	1529
88	0.280026236830536	0.047340172170896	0.0150425114453892	0.0322976607255068	1	12	1	2	2	13	0	0	12	2	2	12	0	0	12	2	1	12	ASV_110	ASV_668	23	1506	1529
89	0.279659585706252	0.047830688848463	0.0150425114453892	0.0327881774030738	1	2	1	1	2	3	0	0	2	1	0	2	0	0	2	1	0	3	ASV_723	ASV_781	23	1506	1529
90	0.276348207803878	0.0484847110852191	0.0156965336821452	0.0327881774030738	1	5	1	4	2	8	0	0	5	4	2	7	0	0	5	4	1	7	ASV_611	ASV_325	24	1505	1529
91	0.276309771809625	0.0493839916607586	0.0170045781556573	0.0323794135051013	2	6	1	4	3	8	2	0	4	4	3	5	1	0	5	4	3	5	ASV_763	ASV_177	26	1503	1529
92	0.27606682754546	0.0500380138975147	0.0170045781556573	0.0330334357418573	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_855	ASV_483	26	1503	1529
93	0.275979899985917	0.0492204861015696	0.0170045781556573	0.0322159079459123	1	2	7	7	8	9	0	0	2	1	0	2	0	0	2	7	0	9	ASV_209	ASV_216	26	1503	1529
94	0.274704367674248	0.0496565009260737	0.0170045781556573	0.0326519227704163	1	1	1	3	2	4	0	0	1	3	0	3	0	0	1	3	0	4	ASV_158	ASV_408	26	1503	1529
95	0.27310243547369	0.0500925157505777	0.0170045781556573	0.0330879375949203	1	2	1	2	2	4	0	0	2	2	0	3	0	0	2	2	0	4	ASV_1089	ASV_334	26	1503	1529
