# >> Output from NodeLinkage.pl <<
# >> Input file 1: "Nodes-Similarities_starting_classes_network_data.tsv
# >> Input file 2: "starting_classes_network_data.tsv
# >> Clustering of nodes with the Average Linkage method
# >> Recovering classification at step: 198
# >> Running at date:  (mm,dd,yy) 4, 28, 2024, and time: 19:18:45,
# >> Silwood Park, Imperial College London, A.P-G.
# 
Step	Similarity	Density	DensityInt	DensityExt	NumNodesA	NumEdgesA	NumNodesB	NumEdgesB	NumNodesAB	NumEdgesAB	NumIntNodesA	NumIntNodesB	NumExtNodesA	NumExtNodesB	NumIntNodesAB	NumExtNodesAB	NumIntEdgesA	NumIntEdgesB	NumExtEdgesA	NumExtEdgesB	NumIntEdgesAB	NumExtEdgesAB	nodeA	nodeB	NcumInt	NcumExt	Ncum
42	0.332790407497096	0.0855435156518749	0.0159958720330237	0.0695476436188512	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_57	ASV_1202	11	635	646
43	0.332652384910184	0.087091503267974	0.0159958720330237	0.0710956312349503	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_681	ASV_375	11	635	646
44	0.332516799016258	0.088639490884073	0.0159958720330237	0.0726436188510494	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_619	ASV_852	11	635	646
45	0.332215167614037	0.0894134846921226	0.0159958720330237	0.0734176126590989	2	2	1	1	3	3	0	0	1	1	0	1	0	0	2	1	0	3	ASV_547	ASV_1368	11	635	646
46	0.331923367086341	0.0901874785001721	0.0159958720330237	0.0741916064671484	2	2	1	1	3	3	0	0	1	1	0	1	0	0	2	1	0	3	ASV_399	ASV_321	11	635	646
47	0.331690806755161	0.0901874785001721	0.0159958720330237	0.0741916064671484	4	4	2	2	6	6	0	0	1	1	0	1	0	0	4	2	0	6	ASV_1009	ASV_57	11	635	646
48	0.331431722124881	0.0909614723082217	0.0159958720330237	0.074965600275198	3	3	1	1	4	4	0	0	1	1	0	1	0	0	3	1	0	4	ASV_600	ASV_572	11	635	646
49	0.331092768188315	0.0925094599243207	0.0159958720330237	0.0765135878912971	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_580	ASV_271	11	635	646
50	0.330717819471502	0.0932834537323703	0.0159958720330237	0.0772875816993466	4	4	1	1	5	5	0	0	1	1	0	1	0	0	4	1	0	5	ASV_520	ASV_1052	11	635	646
51	0.330545811798182	0.0948314413484693	0.0175438596491228	0.0772875816993466	1	1	1	2	2	2	0	0	1	2	2	1	0	0	1	2	1	1	ASV_409	ASV_182	12	634	646
52	0.330423571000711	0.0956054351565189	0.0175438596491228	0.0780615755073961	1	1	2	2	3	3	0	0	1	1	0	1	0	0	1	2	0	3	ASV_237	ASV_681	12	634	646
53	0.33012041238343	0.0956054351565189	0.0175438596491228	0.0780615755073961	2	2	6	6	8	8	0	0	1	1	0	1	0	0	2	6	0	8	ASV_1390	ASV_1009	12	634	646
54	0.330060132608598	0.0963794289645684	0.0175438596491228	0.0788355693154457	3	3	1	1	4	4	0	0	1	1	0	1	0	0	3	1	0	4	ASV_547	ASV_1387	12	634	646
55	0.329769983198517	0.097153422772618	0.0175438596491228	0.0796095631234952	4	4	1	1	5	5	0	0	1	1	0	1	0	0	4	1	0	5	ASV_600	ASV_592	12	634	646
56	0.329488687367556	0.0979274165806675	0.0175438596491228	0.0803835569315448	2	2	1	1	3	3	0	0	1	1	0	1	0	0	2	1	0	3	ASV_361	ASV_473	12	634	646
57	0.328347136657528	0.101023391812866	0.0175438596491228	0.0834795321637429	1	5	1	7	2	12	0	0	5	7	0	9	0	0	5	7	0	12	ASV_164	ASV_450	12	634	646
58	0.328256831416761	0.102571379428965	0.0190918472652219	0.0834795321637429	1	1	1	2	2	2	0	0	1	2	2	1	0	0	1	2	1	1	ASV_578	ASV_10	13	633	646
59	0.328079177819951	0.104119367045064	0.020639834881321	0.0834795321637429	1	1	1	4	2	4	0	0	1	4	2	3	0	0	1	4	1	3	ASV_130	ASV_22	14	632	646
60	0.328026988615834	0.104893360853113	0.020639834881321	0.0842535259717925	2	2	1	1	3	3	0	0	1	1	0	1	0	0	2	1	0	3	ASV_619	ASV_633	14	632	646
61	0.32525626684448	0.105667354661163	0.020639834881321	0.085027519779842	2	2	1	1	3	3	0	0	1	1	0	1	0	0	2	1	0	3	ASV_580	ASV_287	14	632	646
62	0.325087163971696	0.107834537323702	0.020639834881321	0.0871947024423807	1	2	1	5	2	7	0	0	2	5	0	5	0	0	2	5	0	7	ASV_494	ASV_504	14	632	646
63	0.325085957363044	0.108995528035776	0.020639834881321	0.088355693154455	1	1	1	2	2	3	0	0	1	2	0	2	0	0	1	2	0	3	ASV_417	ASV_343	14	632	646
64	0.325005678088385	0.109769521843825	0.020639834881321	0.0891296869625046	2	2	1	1	3	3	0	0	1	1	0	1	0	0	2	1	0	3	ASV_582	ASV_628	14	632	646
65	0.324823949615081	0.110543515651875	0.020639834881321	0.0899036807705541	5	5	1	1	6	6	0	0	1	1	0	1	0	0	5	1	0	6	ASV_600	ASV_1219	14	632	646
66	0.324660833756847	0.111317509459925	0.020639834881321	0.0906776745786037	1	1	3	3	4	4	0	0	1	1	0	1	0	0	1	3	0	4	ASV_190	ASV_399	14	632	646
67	0.323210560036683	0.112865497076024	0.02218782249742	0.0906776745786037	1	1	1	7	2	7	0	0	1	7	2	6	0	0	1	7	1	6	ASV_1448	ASV_16	15	631	646
68	0.3229930593743	0.113639490884073	0.02218782249742	0.0914516683866532	8	8	1	1	9	9	0	0	1	1	0	1	0	0	8	1	0	9	ASV_1390	ASV_30	15	631	646
69	0.319208442992548	0.115832473340213	0.0252837977296182	0.0905486756105954	2	8	1	3	3	9	2	0	6	3	3	6	1	0	7	3	3	6	ASV_311	ASV_540	17	629	646
70	0.318477835846964	0.118971448228414	0.0257997936016512	0.0931716546267633	2	14	1	11	3	24	2	0	9	11	3	12	1	0	13	11	2	22	ASV_193	ASV_134	18	628	646
71	0.318379164640688	0.119745442036464	0.0257997936016512	0.0939456484348128	1	1	3	3	4	4	0	0	1	1	0	1	0	0	1	3	0	4	ASV_832	ASV_730	18	628	646
72	0.318011120934334	0.120906432748538	0.0257997936016512	0.0951066391468871	1	2	1	1	2	3	0	0	2	1	0	2	0	0	2	1	0	3	ASV_87	ASV_86	18	628	646
73	0.315964815164263	0.122454420364637	0.0257997936016512	0.0966546267629862	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_769	ASV_597	18	628	646
74	0.313882249613554	0.125859993120055	0.0273477812177503	0.0985122119023051	1	3	1	11	2	13	0	0	3	11	2	10	0	0	3	11	1	12	ASV_793	ASV_124	19	627	646
75	0.313313288026222	0.126633986928105	0.0273477812177503	0.0992862057103547	3	3	1	1	4	4	0	0	1	1	0	1	0	0	3	1	0	4	ASV_237	ASV_584	19	627	646
76	0.312450291946818	0.127794977640179	0.0273477812177503	0.100447196422429	1	2	1	1	2	3	0	0	2	1	0	2	0	0	2	1	0	3	ASV_346	ASV_187	19	627	646
77	0.311929225306599	0.129342965256278	0.0288957688338493	0.100447196422429	1	1	1	6	2	6	0	0	1	6	2	5	0	0	1	6	1	5	ASV_352	ASV_18	20	626	646
78	0.31147053632981	0.130890952872377	0.0304437564499484	0.100447196422429	1	1	1	3	2	3	0	0	1	3	2	2	0	0	1	3	1	2	ASV_100	ASV_48	21	625	646
79	0.310930190957852	0.130890952872377	0.0304437564499484	0.100447196422429	4	4	9	9	13	13	0	0	1	1	0	1	0	0	4	9	0	13	ASV_190	ASV_1390	21	625	646
80	0.309983536143517	0.133212934296526	0.0304437564499484	0.102769177846578	1	3	1	3	2	6	0	0	3	3	0	4	0	0	3	3	0	6	ASV_337	ASV_175	21	625	646
81	0.309449490169478	0.134760921912625	0.0304437564499484	0.104317165462677	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_511	ASV_242	21	625	646
82	0.309287214609461	0.134244926040592	0.0304437564499484	0.103801169590644	2	10	1	2	3	12	0	0	6	2	0	6	0	0	10	2	0	12	ASV_605	ASV_706	21	625	646
83	0.30477164637611	0.135792913656691	0.0319917440660475	0.103801169590644	1	1	1	3	2	3	0	0	1	3	2	2	0	0	1	3	1	2	ASV_33	ASV_13	22	624	646
84	0.30369270489867	0.13734090127279	0.0319917440660475	0.105349157206743	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_463	ASV_764	22	624	646
85	0.303636787242043	0.138888888888889	0.0319917440660475	0.106897144822842	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_1241	ASV_442	22	624	646
86	0.302899439032865	0.138501891984864	0.0319917440660475	0.106510147918817	3	3	1	2	4	5	0	0	1	2	0	2	0	0	3	2	0	5	ASV_582	ASV_191	22	624	646
87	0.302484429267171	0.136695906432749	0.0319917440660475	0.104704162366701	4	4	1	6	5	10	0	0	1	6	0	6	0	0	4	6	0	10	ASV_237	ASV_96	22	624	646
88	0.302038598383698	0.138243894048848	0.0319917440660475	0.1062521499828	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_253	ASV_168	22	624	646
89	0.301770752155589	0.139791881664947	0.0335397316821466	0.106252149982801	1	1	1	2	2	2	0	0	1	2	2	1	0	0	1	2	1	1	ASV_114	ASV_556	23	623	646
90	0.300279873790348	0.140952872377021	0.0335397316821466	0.107413140694875	1	2	1	1	2	3	0	0	2	1	0	2	0	0	2	1	0	3	ASV_434	ASV_549	23	623	646
91	0.299927438963335	0.14250085999312	0.0350877192982456	0.107413140694875	1	2	1	1	2	2	0	0	2	1	2	1	0	0	2	1	1	1	ASV_118	ASV_276	24	622	646
92	0.298654137179462	0.14404884760922	0.0366357069143447	0.107413140694875	1	1	1	5	2	5	0	0	1	5	2	4	0	0	1	5	1	4	ASV_555	ASV_31	25	621	646
93	0.297990479110876	0.143661850705195	0.0366357069143447	0.10702614379085	3	3	1	2	4	5	0	0	1	2	0	2	0	0	3	2	0	5	ASV_1063	ASV_445	25	621	646
94	0.297192329231604	0.139404884760922	0.0366357069143447	0.102769177846578	13	13	1	2	14	15	0	0	1	2	0	2	0	0	13	2	0	15	ASV_190	ASV_177	25	621	646
95	0.294892194384568	0.140952872377021	0.0381836945304438	0.102769177846578	1	1	1	11	2	11	0	0	1	11	2	10	0	0	1	11	1	10	ASV_737	ASV_6	26	620	646
96	0.294631853812219	0.142500859993121	0.0397316821465429	0.102769177846578	1	5	1	2	2	6	0	0	5	2	2	5	0	0	5	2	1	5	ASV_64	ASV_131	27	619	646
97	0.293856839726731	0.14404884760922	0.0412796697626419	0.102769177846578	1	4	1	1	2	4	0	0	4	1	2	3	0	0	4	1	1	3	ASV_17	ASV_639	28	618	646
98	0.293558051065967	0.144435844513244	0.0412796697626419	0.103156174750602	1	1	2	3	3	4	0	0	1	2	0	2	0	0	1	3	0	4	ASV_588	ASV_346	28	618	646
99	0.29260261529031	0.145209838321294	0.0412796697626419	0.103930168558652	1	1	4	4	5	5	0	0	1	1	0	1	0	0	1	4	0	5	ASV_761	ASV_832	28	618	646
100	0.290355637791465	0.146757825937393	0.042827657378741	0.103930168558652	1	4	1	1	2	4	0	0	4	1	2	3	0	0	4	1	1	3	ASV_108	ASV_285	29	617	646
101	0.290225607325826	0.148305813553492	0.0443756449948401	0.103930168558652	1	1	1	13	2	13	0	0	1	13	2	12	0	0	1	13	1	12	ASV_109	ASV_25	30	616	646
102	0.289706895765979	0.149466804265566	0.0443756449948401	0.105091159270726	1	2	1	1	2	3	0	0	2	1	0	2	0	0	2	1	0	3	ASV_433	ASV_123	30	616	646
103	0.289646074954538	0.161449375071667	0.0443756449948401	0.117073730076826	1	23	1	15	2	38	0	0	23	15	0	27	0	0	23	15	0	38	ASV_251	ASV_54	30	616	646
104	0.287351726069332	0.162610365783741	0.0443756449948401	0.118234720788901	1	2	1	1	2	3	0	0	2	1	0	2	0	0	2	1	0	3	ASV_297	ASV_367	30	616	646
105	0.286954337218705	0.162610365783741	0.0443756449948401	0.118234720788901	2	2	1	2	3	4	0	0	1	2	0	2	0	0	2	2	0	4	ASV_253	ASV_256	30	616	646
106	0.286654842648304	0.16493234720789	0.0443756449948401	0.120556702213049	1	4	1	2	2	6	0	0	4	2	0	4	0	0	4	2	0	6	ASV_259	ASV_709	30	616	646
107	0.284132054593544	0.166480334823989	0.0459236326109392	0.120556702213049	1	3	1	1	2	3	0	0	3	1	2	2	0	0	3	1	1	2	ASV_56	ASV_479	31	615	646
108	0.282019190979411	0.168028322440088	0.0474716202270382	0.120556702213049	1	3	1	2	2	4	0	0	3	2	2	3	0	0	3	2	1	3	ASV_426	ASV_405	32	614	646
109	0.281870003309567	0.169189313152162	0.0474716202270382	0.121717692925124	1	1	1	2	2	3	0	0	1	2	0	2	0	0	1	2	0	3	ASV_330	ASV_604	32	614	646
110	0.278751061386762	0.170496502694646	0.0495356037151704	0.120960898979475	2	13	1	7	3	18	0	0	9	7	3	10	0	0	13	7	2	16	ASV_157	ASV_80	34	612	646
111	0.277083311577857	0.172915233344801	0.0510835913312694	0.121831642013531	1	3	1	8	2	10	0	0	3	8	2	8	0	0	3	8	1	9	ASV_166	ASV_128	35	611	646
112	0.277011036518007	0.174979216832933	0.0510835913312694	0.123895625501663	1	2	1	6	2	8	0	0	2	6	0	6	0	0	2	6	0	8	ASV_950	ASV_561	35	611	646
113	0.274043569586737	0.174979216832933	0.0510835913312694	0.123895625501663	2	2	1	2	3	4	0	0	1	2	0	2	0	0	2	2	0	4	ASV_733	ASV_278	35	611	646
114	0.273632511985736	0.173560228184842	0.0510835913312694	0.122476636853572	14	15	1	2	15	17	0	0	2	2	0	3	0	0	15	2	0	17	ASV_190	ASV_661	35	611	646
115	0.272200619417244	0.17440458506635	0.0510835913312694	0.123320993735081	1	9	1	3	2	12	0	0	9	3	0	11	0	0	9	3	0	12	ASV_37	ASV_59	35	611	646
