# >> Output from NodeLinkage.pl <<
# >> Input file 1: "Nodes-Similarities_final_classes_network_data.tsv
# >> Input file 2: "final_classes_network_data.tsv
# >> Clustering of nodes with the Average Linkage method
# >> Running at date:  (mm,dd,yy) 2, 20, 2024, and time: 20:52:4,
# >> Silwood Park, Imperial College London, A.P-G.
# 
Step	Similarity	Density	DensityInt	DensityExt	NumNodesA	NumEdgesA	NumNodesB	NumEdgesB	NumNodesAB	NumEdgesAB	NumIntNodesA	NumIntNodesB	NumExtNodesA	NumExtNodesB	NumIntNodesAB	NumExtNodesAB	NumIntEdgesA	NumIntEdgesB	NumExtEdgesA	NumExtEdgesB	NumIntEdgesAB	NumExtEdgesAB	nodeA	nodeB	NcumInt	NcumExt	Ncum
43	0.330624616727305	0.0289212709282536	0.0065402223675605	0.0223810485606931	1	2	1	4	2	5	0	0	2	4	2	4	0	0	2	4	1	4	ASV_659	ASV_147	10	1519	1529
44	0.330204076868258	0.0294117876058206	0.0065402223675605	0.0228715652382601	1	1	1	2	2	3	0	0	1	2	0	2	0	0	1	2	0	3	ASV_485	ASV_243	10	1519	1529
45	0.330153749825219	0.0300658098425767	0.0065402223675605	0.0235255874750162	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_697	ASV_1109	10	1519	1529
46	0.329440567475692	0.0307198320793327	0.0065402223675605	0.0241796097117722	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_945	ASV_976	10	1519	1529
47	0.329016519892991	0.0310468431977108	0.0065402223675605	0.0245066208301503	1	1	2	2	3	3	0	0	1	1	0	1	0	0	1	2	0	3	ASV_681	ASV_995	10	1519	1529
48	0.328790313391807	0.0313738543160888	0.0065402223675605	0.0248336319485283	2	2	1	1	3	3	0	0	1	1	0	1	0	0	2	1	0	3	ASV_341	ASV_490	10	1519	1529
49	0.328271797477878	0.0313738543160888	0.0065402223675605	0.0248336319485283	2	2	2	2	4	4	0	0	1	1	0	1	0	0	2	2	0	4	ASV_583	ASV_543	10	1519	1529
50	0.328097446446066	0.0313738543160888	0.0065402223675605	0.0248336319485283	4	4	3	3	7	7	0	0	1	1	0	1	0	0	4	3	0	7	ASV_377	ASV_629	10	1519	1529
51	0.327455593164949	0.0317008654344668	0.0065402223675605	0.0251606430669063	2	2	1	1	3	3	0	0	1	1	0	1	0	0	2	1	0	3	ASV_283	ASV_912	10	1519	1529
52	0.326630880746416	0.0317008654344668	0.0065402223675605	0.0251606430669063	3	3	3	3	6	6	0	0	1	1	0	1	0	0	3	3	0	6	ASV_508	ASV_277	10	1519	1529
53	0.326135674860479	0.0323548876712229	0.0065402223675605	0.0258146653036624	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_756	ASV_399	10	1519	1529
54	0.323408043737191	0.0328454043487899	0.0065402223675605	0.0263051819812294	1	2	1	1	2	3	0	0	2	1	0	2	0	0	2	1	0	3	ASV_182	ASV_722	10	1519	1529
55	0.32166024903969	0.0328454043487899	0.0065402223675605	0.0263051819812294	2	2	2	2	4	4	0	0	1	1	0	1	0	0	2	2	0	4	ASV_695	ASV_1214	10	1519	1529
56	0.321225753960888	0.0321913821120339	0.0065402223675605	0.0256511597444734	6	6	1	2	7	8	0	0	1	2	0	2	0	0	6	2	0	8	ASV_508	ASV_406	10	1519	1529
57	0.320311561486235	0.0323548876712229	0.0065402223675605	0.0258146653036624	1	1	2	3	3	4	0	0	1	2	0	2	0	0	1	3	0	4	ASV_489	ASV_599	10	1519	1529
58	0.319510559670356	0.0330089099079789	0.00719424460431655	0.0258146653036624	1	2	1	2	2	3	0	0	2	2	2	2	0	0	2	2	1	2	ASV_400	ASV_183	11	1518	1529
59	0.318495482435497	0.033499426585546	0.00719424460431655	0.0263051819812294	1	1	1	2	2	3	0	0	1	2	0	2	0	0	1	2	0	3	ASV_772	ASV_468	11	1518	1529
60	0.317210228498456	0.033499426585546	0.00719424460431655	0.0263051819812294	2	2	3	3	5	5	0	0	1	1	0	1	0	0	2	3	0	5	ASV_945	ASV_681	11	1518	1529
61	0.317062159399442	0.034153448822302	0.00719424460431655	0.0269592042179855	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_1318	ASV_654	11	1518	1529
