# >> Output from NodeLinkage.pl <<
# >> Input file 1: "Nodes-Similarities_starting_classes_network_data.tsv
# >> Input file 2: "starting_classes_network_data.tsv
# >> Clustering of nodes with the Average Linkage method
# >> Running at date:  (mm,dd,yy) 4, 6, 2024, and time: 5:42:44,
# >> Silwood Park, Imperial College London, A.P-G.
# 
Step	Similarity	Density	DensityInt	DensityExt	NumNodesA	NumEdgesA	NumNodesB	NumEdgesB	NumNodesAB	NumEdgesAB	NumIntNodesA	NumIntNodesB	NumExtNodesA	NumExtNodesB	NumIntNodesAB	NumExtNodesAB	NumIntEdgesA	NumIntEdgesB	NumExtEdgesA	NumExtEdgesB	NumIntEdgesAB	NumExtEdgesAB	nodeA	nodeB	NcumInt	NcumExt	Ncum
51	0.330717819471502	0.095772946859903	0.0191511387163561	0.076621808143547	4	4	1	1	5	5	0	0	1	1	0	1	0	0	4	1	0	5	ASV_520	ASV_1052	13	631	644
52	0.330545811798182	0.0973257418909589	0.020703933747412	0.076621808143547	1	2	1	1	2	2	0	0	2	1	2	1	0	0	2	1	1	1	ASV_182	ASV_409	14	630	644
53	0.330423571000711	0.0981021394064869	0.020703933747412	0.077398205659075	2	2	1	1	3	3	0	0	1	1	0	1	0	0	2	1	0	3	ASV_375	ASV_237	14	630	644
54	0.33012041238343	0.0981021394064869	0.020703933747412	0.077398205659075	6	6	2	2	8	8	0	0	1	1	0	1	0	0	6	2	0	8	ASV_1202	ASV_1390	14	630	644
55	0.330060132608598	0.0988785369220148	0.020703933747412	0.0781746031746029	1	1	3	3	4	4	0	0	1	1	0	1	0	0	1	3	0	4	ASV_1387	ASV_238	14	630	644
56	0.329769983198517	0.0996549344375428	0.020703933747412	0.0789510006901309	4	4	1	1	5	5	0	0	1	1	0	1	0	0	4	1	0	5	ASV_936	ASV_592	14	630	644
57	0.329488687367556	0.100431331953071	0.020703933747412	0.0797273982056588	1	1	2	2	3	3	0	0	1	1	0	1	0	0	1	2	0	3	ASV_473	ASV_1075	14	630	644
58	0.328347136657528	0.103536922015182	0.020703933747412	0.0828329882677706	1	5	1	7	2	12	0	0	5	7	0	9	0	0	5	7	0	12	ASV_164	ASV_450	14	630	644
59	0.328256831416761	0.105089717046238	0.0222567287784679	0.0828329882677706	1	2	1	1	2	2	0	0	2	1	2	1	0	0	2	1	1	1	ASV_10	ASV_578	15	629	644
60	0.328079177819951	0.106642512077294	0.0238095238095238	0.0828329882677706	1	1	1	4	2	4	0	0	1	4	2	3	0	0	1	4	1	3	ASV_130	ASV_22	16	628	644
61	0.328026988615834	0.107418909592822	0.0238095238095238	0.0836093857832985	1	1	2	2	3	3	0	0	1	1	0	1	0	0	1	2	0	3	ASV_633	ASV_852	16	628	644
62	0.32525626684448	0.10819530710835	0.0238095238095238	0.0843857832988265	2	2	1	1	3	3	0	0	1	1	0	1	0	0	2	1	0	3	ASV_271	ASV_287	16	628	644
63	0.325087163971696	0.110369220151828	0.0238095238095238	0.0865596963423047	1	2	1	5	2	7	0	0	2	5	0	5	0	0	2	5	0	7	ASV_494	ASV_504	16	628	644
64	0.325085957363044	0.11153381642512	0.0238095238095238	0.0877242926155967	1	1	1	2	2	3	0	0	1	2	0	2	0	0	1	2	0	3	ASV_417	ASV_343	16	628	644
65	0.325005678088385	0.112310213940648	0.0238095238095238	0.0885006901311246	1	1	2	2	3	3	0	0	1	1	0	1	0	0	1	2	0	3	ASV_628	ASV_792	16	628	644
66	0.324823949615081	0.113086611456176	0.0238095238095238	0.0892770876466526	5	5	1	1	6	6	0	0	1	1	0	1	0	0	5	1	0	6	ASV_936	ASV_1219	16	628	644
67	0.324660833756847	0.113863008971704	0.0238095238095238	0.0900534851621805	3	3	1	1	4	4	0	0	1	1	0	1	0	0	3	1	0	4	ASV_396	ASV_190	16	628	644
68	0.323210560036683	0.11541580400276	0.0253623188405797	0.0900534851621805	1	7	1	1	2	7	0	0	7	1	2	6	0	0	7	1	1	6	ASV_16	ASV_1448	17	627	644
69	0.3229930593743	0.116192201518288	0.0253623188405797	0.0908298826777085	1	1	8	8	9	9	0	0	1	1	0	1	0	0	1	8	0	9	ASV_30	ASV_1202	17	627	644
70	0.31925612172898	0.117227398205659	0.0253623188405797	0.0918650793650791	1	3	1	1	2	4	0	0	3	1	0	3	0	0	3	1	0	4	partition_Class5	ASV_639	17	627	644
71	0.319208442992548	0.119427191166321	0.0284679089026915	0.0909592822636298	1	3	2	8	3	9	0	2	3	6	3	6	0	1	3	7	3	6	ASV_540	ASV_376	19	625	644
72	0.318477835846964	0.12257591442374	0.0289855072463768	0.0935904071773634	1	11	2	14	3	24	0	2	11	9	3	12	0	1	11	13	2	22	ASV_134	ASV_193	20	624	644
73	0.318379164640688	0.123352311939268	0.0289855072463768	0.0943668046928913	3	3	1	1	4	4	0	0	1	1	0	1	0	0	3	1	0	4	ASV_744	ASV_832	20	624	644
74	0.318011120934334	0.12451690821256	0.0289855072463768	0.0955314009661832	1	2	1	1	2	3	0	0	2	1	0	2	0	0	2	1	0	3	ASV_87	ASV_86	20	624	644
75	0.315964815164263	0.126069703243616	0.0289855072463768	0.0970841959972391	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_769	ASV_597	20	624	644
76	0.313882249613554	0.129485852311939	0.0305383022774327	0.0989475500345062	1	3	1	11	2	13	0	0	3	11	2	10	0	0	3	11	1	12	ASV_793	ASV_124	21	623	644
77	0.313313288026222	0.130262249827467	0.0305383022774327	0.0997239475500342	1	1	3	3	4	4	0	0	1	1	0	1	0	0	1	3	0	4	ASV_584	ASV_375	21	623	644
78	0.312450291946818	0.131426846100759	0.0305383022774327	0.100888543823326	1	2	1	1	2	3	0	0	2	1	0	2	0	0	2	1	0	3	ASV_346	ASV_187	21	623	644
79	0.311929225306599	0.132979641131815	0.0320910973084886	0.100888543823326	1	6	1	1	2	6	0	0	6	1	2	5	0	0	6	1	1	5	ASV_18	ASV_352	22	622	644
80	0.31147053632981	0.13453243616287	0.0336438923395445	0.100888543823326	1	3	1	1	2	3	0	0	3	1	2	2	0	0	3	1	1	2	ASV_48	ASV_100	23	621	644
