# >> Output from NodeLinkage.pl <<
# >> Input file 1: "Nodes-Similarities_starting_classes_network_data.tsv
# >> Input file 2: "starting_classes_network_data.tsv
# >> Clustering of nodes with the Average Linkage method
# >> Recovering classification at step: 214
# >> Running at date:  (mm,dd,yy) 2, 20, 2024, and time: 20:54:12,
# >> Silwood Park, Imperial College London, A.P-G.
# 
Step	Similarity	Density	DensityInt	DensityExt	NumNodesA	NumEdgesA	NumNodesB	NumEdgesB	NumNodesAB	NumEdgesAB	NumIntNodesA	NumIntNodesB	NumExtNodesA	NumExtNodesB	NumIntNodesAB	NumExtNodesAB	NumIntEdgesA	NumIntEdgesB	NumExtEdgesA	NumExtEdgesB	NumIntEdgesAB	NumExtEdgesAB	nodeA	nodeB	NcumInt	NcumExt	Ncum
71	0.325005678088385	0.120476436188511	0.0237358101135191	0.0967406260749917	2	2	1	1	3	3	0	0	1	1	0	1	0	0	2	1	0	3	ASV_582	ASV_628	16	630	646
72	0.324823949615081	0.12125042999656	0.0237358101135191	0.0975146198830412	5	5	1	1	6	6	0	0	1	1	0	1	0	0	5	1	0	6	ASV_936	ASV_1219	16	630	646
73	0.324660833756847	0.12202442380461	0.0237358101135191	0.0982886136910908	3	3	1	1	4	4	0	0	1	1	0	1	0	0	3	1	0	4	ASV_396	ASV_190	16	630	646
74	0.323210560036683	0.123572411420709	0.0252837977296182	0.0982886136910908	1	1	1	7	2	7	0	0	1	7	2	6	0	0	1	7	1	6	ASV_1448	ASV_16	17	629	646
75	0.3229930593743	0.124346405228759	0.0252837977296182	0.0990626074991403	8	8	1	1	9	9	0	0	1	1	0	1	0	0	8	1	0	9	ASV_57	ASV_30	17	629	646
76	0.319991322219589	0.125894392844858	0.0252837977296182	0.100610595115239	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_62	ASV_33	17	629	646
77	0.319397936616158	0.126668386652907	0.0252837977296182	0.101384588923289	1	1	4	4	5	5	0	0	1	1	0	1	0	0	1	4	0	5	ASV_832	ASV_730	17	629	646
78	0.319339452401705	0.126668386652907	0.0252837977296182	0.101384588923289	2	2	1	2	3	4	0	0	1	2	0	2	0	0	2	2	0	4	ASV_86	ASV_87	17	629	646
79	0.31925612172898	0.127700378396973	0.0252837977296182	0.102416580667355	1	3	1	1	2	4	0	0	3	1	0	3	0	0	3	1	0	4	partition_Class5	ASV_639	17	629	646
80	0.319208442992548	0.129893360853114	0.0283797729618163	0.101513587891297	2	8	1	3	3	9	2	0	6	3	3	6	1	0	7	3	3	6	ASV_376	ASV_540	19	627	646
81	0.318477835846964	0.133032335741315	0.0288957688338493	0.104136566907465	1	11	2	14	3	24	0	2	11	9	3	12	0	1	11	13	2	22	ASV_134	ASV_193	20	626	646
82	0.315964815164263	0.134580323357414	0.0288957688338493	0.105684554523564	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_597	ASV_769	20	626	646
83	0.313882249613554	0.137985896112832	0.0304437564499484	0.107542139662883	1	3	1	11	2	13	0	0	3	11	2	10	0	0	3	11	1	12	ASV_793	ASV_124	21	625	646
84	0.313313288026222	0.138759889920881	0.0304437564499484	0.108316133470933	3	3	1	1	4	4	0	0	1	1	0	1	0	0	3	1	0	4	ASV_375	ASV_584	21	625	646
85	0.312450291946818	0.139920880632955	0.0304437564499484	0.109477124183007	1	2	1	1	2	3	0	0	2	1	0	2	0	0	2	1	0	3	ASV_346	ASV_187	21	625	646
