"","sampleid","Name.2","Community","Species","replicate","BreakingBag","parent","Location","Experiment","Part_Time0D_17","Part_Time0D_6","Part_Time4M_64","Part_Time7D_rep1_2","Part_Time7D_rep2_2","Part_Time7D_rep3_2","Part_Time7D_rep4_2","replicate.partition","partition","ExpCompact","exp.replicate.partition","exp.partition"
"172","AE95.1",NA,NA,NA,"Rep1",NA,"AE95","AshridgeEstate","7D_rep1",NA,NA,NA,1,NA,NA,NA,"Rep1.Class1","Class1","Final","Final.Rep1.Class1","Final.Class1"
"173","AE95.2",NA,NA,NA,"Rep2",NA,"AE95","AshridgeEstate","7D_rep2",NA,NA,NA,NA,1,NA,NA,"Rep2.Class1","Class1","Final","Final.Rep2.Class1","Final.Class1"
"174","AE95.3",NA,NA,NA,"Rep3",NA,"AE95","AshridgeEstate","7D_rep3",NA,NA,NA,NA,NA,1,NA,"Rep3.Class1","Class1","Final","Final.Rep3.Class1","Final.Class1"
"175","AE95.4",NA,NA,NA,"Rep4",NA,"AE95","AshridgeEstate","7D_rep4",NA,NA,NA,NA,NA,NA,1,"Rep4.Class1","Class1","Final","Final.Rep4.Class1","Final.Class1"
"184","BB01.1",NA,NA,NA,"Rep1",NA,"BB01","BurhamBeeches","7D_rep1",NA,NA,NA,1,NA,NA,NA,"Rep1.Class1","Class1","Final","Final.Rep1.Class1","Final.Class1"
"185","BB01.2",NA,NA,NA,"Rep2",NA,"BB01","BurhamBeeches","7D_rep2",NA,NA,NA,NA,1,NA,NA,"Rep2.Class1","Class1","Final","Final.Rep2.Class1","Final.Class1"
"186","BB01.3",NA,NA,NA,"Rep3",NA,"BB01","BurhamBeeches","7D_rep3",NA,NA,NA,NA,NA,1,NA,"Rep3.Class1","Class1","Final","Final.Rep3.Class1","Final.Class1"
"187","BB01.4",NA,NA,NA,"Rep4",NA,"BB01","BurhamBeeches","7D_rep4",NA,NA,NA,NA,NA,NA,1,"Rep4.Class1","Class1","Final","Final.Rep4.Class1","Final.Class1"
"188","BB02.1",NA,NA,NA,"Rep1",NA,"BB02","BurhamBeeches","7D_rep1",NA,NA,NA,2,NA,NA,NA,"Rep1.Class2","Class2","Final","Final.Rep1.Class2","Final.Class2"
"189","BB02.2",NA,NA,NA,"Rep2",NA,"BB02","BurhamBeeches","7D_rep2",NA,NA,NA,NA,2,NA,NA,"Rep2.Class2","Class2","Final","Final.Rep2.Class2","Final.Class2"
"190","BB02.3",NA,NA,NA,"Rep3",NA,"BB02","BurhamBeeches","7D_rep3",NA,NA,NA,NA,NA,2,NA,"Rep3.Class2","Class2","Final","Final.Rep3.Class2","Final.Class2"
"191","BB02.4",NA,NA,NA,"Rep4",NA,"BB02","BurhamBeeches","7D_rep4",NA,NA,NA,NA,NA,NA,2,"Rep4.Class2","Class2","Final","Final.Rep4.Class2","Final.Class2"
"192","BB03.1",NA,NA,NA,"Rep1",NA,"BB03","BurhamBeeches","7D_rep1",NA,NA,NA,1,NA,NA,NA,"Rep1.Class1","Class1","Final","Final.Rep1.Class1","Final.Class1"
"193","BB03.2",NA,NA,NA,"Rep2",NA,"BB03","BurhamBeeches","7D_rep2",NA,NA,NA,NA,1,NA,NA,"Rep2.Class1","Class1","Final","Final.Rep2.Class1","Final.Class1"
"194","BB03.3",NA,NA,NA,"Rep3",NA,"BB03","BurhamBeeches","7D_rep3",NA,NA,NA,NA,NA,1,NA,"Rep3.Class1","Class1","Final","Final.Rep3.Class1","Final.Class1"
"195","BB03.4",NA,NA,NA,"Rep4",NA,"BB03","BurhamBeeches","7D_rep4",NA,NA,NA,NA,NA,NA,1,"Rep4.Class1","Class1","Final","Final.Rep4.Class1","Final.Class1"
"200","BB05.1",NA,NA,NA,"Rep1",NA,"BB05","BurhamBeeches","7D_rep1",NA,NA,NA,1,NA,NA,NA,"Rep1.Class1","Class1","Final","Final.Rep1.Class1","Final.Class1"
"201","BB05.2",NA,NA,NA,"Rep2",NA,"BB05","BurhamBeeches","7D_rep2",NA,NA,NA,NA,1,NA,NA,"Rep2.Class1","Class1","Final","Final.Rep2.Class1","Final.Class1"
"202","BB05.3",NA,NA,NA,"Rep3",NA,"BB05","BurhamBeeches","7D_rep3",NA,NA,NA,NA,NA,2,NA,"Rep3.Class2","Class2","Final","Final.Rep3.Class2","Final.Class2"
"203","BB05.4",NA,NA,NA,"Rep4",NA,"BB05","BurhamBeeches","7D_rep4",NA,NA,NA,NA,NA,NA,1,"Rep4.Class1","Class1","Final","Final.Rep4.Class1","Final.Class1"
"204","BB06.1",NA,NA,NA,"Rep1",NA,"BB06","BurhamBeeches","7D_rep1",NA,NA,NA,1,NA,NA,NA,"Rep1.Class1","Class1","Final","Final.Rep1.Class1","Final.Class1"
"205","BB06.2",NA,NA,NA,"Rep2",NA,"BB06","BurhamBeeches","7D_rep2",NA,NA,NA,NA,2,NA,NA,"Rep2.Class2","Class2","Final","Final.Rep2.Class2","Final.Class2"
"206","BB06.3",NA,NA,NA,"Rep3",NA,"BB06","BurhamBeeches","7D_rep3",NA,NA,NA,NA,NA,2,NA,"Rep3.Class2","Class2","Final","Final.Rep3.Class2","Final.Class2"
"207","BB06.4",NA,NA,NA,"Rep4",NA,"BB06","BurhamBeeches","7D_rep4",NA,NA,NA,NA,NA,NA,2,"Rep4.Class2","Class2","Final","Final.Rep4.Class2","Final.Class2"
"208","BB07.1",NA,NA,NA,"Rep1",NA,"BB07","BurhamBeeches","7D_rep1",NA,NA,NA,1,NA,NA,NA,"Rep1.Class1","Class1","Final","Final.Rep1.Class1","Final.Class1"
"209","BB07.2",NA,NA,NA,"Rep2",NA,"BB07","BurhamBeeches","7D_rep2",NA,NA,NA,NA,1,NA,NA,"Rep2.Class1","Class1","Final","Final.Rep2.Class1","Final.Class1"
"210","BB07.3",NA,NA,NA,"Rep3",NA,"BB07","BurhamBeeches","7D_rep3",NA,NA,NA,NA,NA,1,NA,"Rep3.Class1","Class1","Final","Final.Rep3.Class1","Final.Class1"
"211","BB07.4",NA,NA,NA,"Rep4",NA,"BB07","BurhamBeeches","7D_rep4",NA,NA,NA,NA,NA,NA,1,"Rep4.Class1","Class1","Final","Final.Rep4.Class1","Final.Class1"
"215","BB09.1",NA,NA,NA,"Rep1",NA,"BB09","BurhamBeeches","7D_rep1",NA,NA,NA,1,NA,NA,NA,"Rep1.Class1","Class1","Final","Final.Rep1.Class1","Final.Class1"
"216","BB09.2",NA,NA,NA,"Rep2",NA,"BB09","BurhamBeeches","7D_rep2",NA,NA,NA,NA,1,NA,NA,"Rep2.Class1","Class1","Final","Final.Rep2.Class1","Final.Class1"
"217","BB09.3",NA,NA,NA,"Rep3",NA,"BB09","BurhamBeeches","7D_rep3",NA,NA,NA,NA,NA,1,NA,"Rep3.Class1","Class1","Final","Final.Rep3.Class1","Final.Class1"
