"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","functionInk","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","Set","shared name","Stress","TopologicalCoefficient"
"3.5054945054945055","0.0","0.2852664576802508","0.0","1","6","22","false","ASV_1009","58.0","0","1","0","0.9608516483516484","false","0","Starting-ASV","ASV_1009","0","0.0"
"4.144427001569858","0.0","0.2412878787878788","0.0","1","7","133","false","ASV_417","12.0","0","1","0","0.950868328100471","false","0","Starting-ASV","ASV_417","0","0.0"
"3.3720565149136577","1.9352858851211577E-4","0.29655493482309125","0.0","3","6","54","false","ASV_77","20.666666666666668","0","3","0","0.9629366169544741","false","0","Final_ASV","ASV_77","752","0.3575757575757576"
"3.3359497645211933","1.6736862396268996E-4","0.29976470588235293","0.0","2","6","81","false","ASV_681","32.5","0","2","0","0.9635007849293563","false","0","Both-ASV","ASV_681","742","0.525"
"4.133437990580847","0.0","0.24192935814660085","0.0","1","7","81","false","ASV_584","14.0","0","1","0","0.9510400313971743","false","0","Starting-ASV","ASV_584","0","0.0"
"3.7519623233908947","0.0","0.2665271966527197","1.0","2","6","81","false","ASV_468","17.0","0","2","0","0.9570005886970173","false","0","Final_ASV","ASV_468","0","0.5483870967741935"
"3.9811616954474096","0.0","0.25118296529968454","0.0","1","7","231","false","ASV_74","8.0","0","1","0","0.9534193485086342","false","0","Final_ASV","ASV_74","0","0.0"
"4.06436420722135","0.0","0.24604094244882196","0.0","1","7","96","false","ASV_722","14.0","0","1","0","0.9521193092621664","false","0","Final_ASV","ASV_722","0","0.0"
"4.009419152276295","0.0","0.24941268598277214","0.0","1","7","157","false","ASV_757","13.0","0","1","0","0.9529778257456829","false","0","Final_ASV","ASV_757","0","0.0"
"3.7032967032967035","0.0","0.27002967359050445","0.0","1","7","45","false","ASV_711","25.0","0","1","0","0.957760989010989","false","0","Final_ASV","ASV_711","0","0.0"
"3.7032967032967035","0.0","0.27002967359050445","0.0","1","7","45","false","ASV_373","25.0","0","1","0","0.957760989010989","false","0","Final_ASV","ASV_373","0","0.0"
"3.58712715855573","5.7713087392441755E-5","0.2787746170678337","0.0","2","7","203","false","ASV_800","17.5","0","2","0","0.9595761381475667","false","0","Final_ASV","ASV_800","216","0.515625"
"4.056514913657771","0.0","0.2465170278637771","0.0","1","7","65","false","ASV_1282","9.0","0","1","0","0.9522419544740973","false","0","Final_ASV","ASV_1282","0","0.0"
